date,account_value
2024-01-02,1000000.0
2024-01-03,996717.3375785827
2024-01-04,994200.4219390869
2024-01-05,991889.1684749601
2024-01-08,991157.378726196
2024-01-09,987068.6892879483
2024-01-10,987479.159686279
2024-01-11,989990.1962875363
2024-01-12,988153.1282395321
2024-01-15,984389.6463883168
2024-01-16,976781.0503250691
2024-01-17,960413.4410217549
2024-01-18,950696.124345638
2024-01-19,992913.0518568989
2024-01-22,1018110.3297432439
2024-01-23,1020895.2846579168
2024-01-24,1011191.6347784612
2024-01-25,1013657.2343039128
2024-01-26,1003513.3101782415
2024-01-29,1020728.2494635198
2024-01-30,1022230.3978399846
2024-01-31,1008846.4933981511
2024-02-01,1013935.966863117
2024-02-02,1029559.7059607122
2024-02-05,1025827.484288654
2024-02-15,1044550.6430792424
2024-02-16,1027826.2825064275
2024-02-19,1033584.3114981267
2024-02-20,1034731.7635397527
2024-02-21,1024007.5364584539
2024-02-22,1033520.2904715154
2024-02-23,1024560.8034414861
2024-02-26,1034577.9987692449
2024-02-27,999566.5555777166
2024-02-29,1006490.9281973455
2024-03-01,1007404.3482946965
2024-03-04,1011796.2736868474
2024-03-05,1012457.9803137395
2024-03-06,1013683.4073004338
2024-03-07,1005990.7459311101
2024-03-08,1015042.6482748601
2024-03-11,1028754.287312946
2024-03-12,1045511.2287344548
2024-03-13,1036458.9367727849
2024-03-14,1026390.895932636
2024-03-15,1029426.5448507878
2024-03-18,1042675.00639101
2024-03-19,1059924.4452566716
2024-03-20,1048530.6222204778
2024-03-21,1077347.20560976
2024-03-22,1091712.7003073308
2024-03-25,1084286.6336187932
2024-03-26,1071783.8008017156
2024-03-27,1076365.0302786443
2024-03-28,1103103.7729544255
2024-03-29,1116477.337514362
2024-04-01,1111113.472798786
2024-04-02,1132820.9484457585
2024-04-03,1118825.8640951726
2024-04-08,1127159.4510397527
2024-04-09,1119915.0623983953
2024-04-10,1107869.7513479802
2024-04-11,1103030.11450716
2024-04-12,1096183.7832007024
2024-04-15,1063262.3379110906
2024-04-16,1023358.3415045354
2024-04-17,1037705.7038626287
2024-04-18,1040900.3616842839
2024-04-19,1008471.6459478948
2024-04-22,1001893.9902090642
2024-04-23,1009830.1547369573
2024-04-24,1062003.0994772527
2024-04-25,1049724.144887409
2024-04-26,1057120.568814716
2024-04-29,1074505.7034506414
2024-04-30,1066812.9996008489
2024-05-02,1056915.9117178533
2024-05-03,1060103.3624090764
2024-05-06,1076821.7628988835
2024-05-07,1081224.1205648992
2024-05-08,1093910.4718832585
2024-05-09,1095861.2692465398
2024-05-10,1090851.332272968
2024-05-13,1091710.5162863347
2024-05-14,1107158.625142536
2024-05-15,1106626.40873476
2024-05-16,1096732.901540241
2024-05-17,1109334.905774555
2024-05-20,1096791.1088766668
2024-05-21,1098056.5503210637
2024-05-22,1110124.6139044377
2024-05-23,1117989.5553793523
2024-05-24,1113223.9421972844
2024-05-27,1142767.6854910466
2024-05-28,1135926.0213141057
